# Energy_eV TotalXS_barn
3.376980310825091619e-02 7.670950864357058308e+00
3.400411932703706341e-02 7.638802949539627463e+00
3.424006137971424141e-02 7.606993037691176518e+00
3.447764054734463873e-02 7.575519631489346040e+00
3.471686818926561502e-02 7.544381249954858148e+00
3.495775574363275268e-02 7.513576428382921613e+00
3.520031472796678745e-02 7.483103718275409655e+00
3.544455673970433457e-02 7.452889557926908104e+00
3.569049345675229939e-02 7.422955946820365192e+00
3.593813663804627800e-02 7.393349359772887652e+00
3.618749812411280187e-02 7.364068406632516606e+00
3.643858983763544751e-02 7.335111713086187812e+00
3.669142378402492216e-02 7.306477920596283759e+00
3.694601205199302130e-02 7.278154860749669552e+00
3.720236681413068014e-02 7.250039177555478886e+00
3.746050032748993175e-02 7.222241555664566270e+00
3.772042493416997294e-02 7.784009310311162722e+00
3.798215306190734497e-02 7.752783515079645582e+00
3.824569722466999305e-02 7.721899900864793054e+00
3.851107002325571127e-02 7.691357018963039138e+00
3.877828414589457040e-02 7.661078766725186284e+00
3.904735236885559929e-02 7.631082616483837455e+00
3.931828755705768508e-02 7.601422046503350849e+00
3.959110266468458816e-02 7.572095667731378654e+00
3.986581073580440504e-02 7.543102107393520050e+00
4.014242490499322219e-02 7.514440008930024284e+00
4.042095839796307905e-02 7.486099372518838280e+00
4.070142453219436490e-02 7.457958633675810134e+00
4.098383671757261509e-02 7.430144429223295433e+00
4.126820845702953988e-02 7.402655460219964567e+00
4.155455334718875099e-02 7.375490443588302192e+00
4.184288507901582493e-02 7.348648112055617965e+00
4.213321743847286971e-02 7.322127214095811354e+00
4.242556430717776828e-02 7.914760423174237225e+00
4.271993966306778662e-02 7.884468076468363229e+00
4.301635758106794882e-02 7.854521879123564254e+00
4.331483223376400571e-02 7.824920432505000356e+00
4.361537789208003169e-02 7.795662354791232040e+00
4.391800892596085804e-02 7.766746280910485467e+00
4.422273980505899565e-02 7.738164723412629620e+00
4.452958509942655380e-02 7.709768623377300401e+00
4.483855948021188420e-02 7.681709421614870692e+00
4.514967772036099919e-02 7.653985811727705091e+00
4.546295469532399269e-02 7.626596503707752106e+00
4.577840538376618668e-02 7.599540223877211176e+00
4.609604486828433600e-02 7.572815714829967959e+00
4.641588833612779463e-02 7.546329264908776757e+00
4.673795107992460840e-02 7.520087916669061734e+00
4.706224849841281199e-02 7.494173438179178248e+00
4.738879609717653457e-02 7.468584628043688944e+00
4.771760948938745528e-02 7.443320300798545119e+00
4.804870439655131720e-02 7.418379286856715993e+00
4.838209664925954834e-02 7.393757755307376556e+00
4.871780218794630885e-02 7.369265659267924207e+00
4.905583706365047869e-02 7.345092114579582443e+00
4.939621743878321036e-02 7.321236005281833492e+00
4.973895958790065103e-02 7.297696230965587283e+00
5.008407989848209785e-02 7.437299995722972845e+00
5.043159487171358646e-02 7.413267631890524179e+00
5.078152112327673218e-02 7.389449795525808717e+00
5.113387538414326111e-02 7.365844923145930423e+00
5.148867450137494667e-02 7.342557261835167992e+00
5.184593543892910411e-02 7.319585740653886674e+00
5.220567527846975420e-02 7.296929304167402819e+00
5.256791122018421997e-02 7.274586912397673188e+00
5.293266058360561466e-02 7.252557540775704581e+00
5.329994080844090154e-02 7.230615629406565326e+00
5.366976945540476163e-02 7.208980706061876909e+00
5.404216420705915125e-02 7.187654235116768930e+00
5.441714286865890343e-02 7.166635242172036513e+00
